Array Size,Thurst time (s),Radix time (s)
16384,0.2372,7.71482
32768,0.2806,6.88333
65536,0.5948,9.09414
131072,1.4979,9.41875
262144,2.455,18.1023
524288,5.2243,23.5121
1048576,11.3354,31.2637
2097152,44.3262,49.7439
4194304,95.4475,84.4831
8388608,183.444,154.951
16777216,368.975,294.409
33554432,721.379,573.095
67108864,1431.69,1142.43
134217728,2852.25,2271.38
16,0.0027,4.88755
32,0.0045,4.35507
64,0.0049,8.41728
128,0.0101,6.84339
256,0.0183,4.74214
512,0.0139,4.34995
1024,0.0346,5.0391
2048,0.0339,5.15482
4096,0.045,6.57715
8192,0.1099,4.53939
16384,0.2044,7.41069
32768,0.3132,7.27654
65536,0.5567,8.39578
131072,1.2368,6.784
262144,2.5741,17.7838
524288,6.0054,21.7487
1048576,10.581,32.5571
2097152,46.8896,49.5421
4194304,96.2426,83.5471
8388608,180.801,153.997
16777216,361.217,293.874
33554432,718.152,573.619
67108864,1429,1141.98
134217728,2868.83,2256.34
16,0.0027,5.66067
32,0.0069,7.85203
64,0.0073,6.72358
128,0.0061,6.70003
256,0.045,7.60525
512,0.0144,6.74406
1024,0.0098,6.72563
2048,0.0237,6.76762
4096,0.0461,6.87206
8192,0.0735,7.15571
16384,0.2772,6.3703
32768,0.2804,7.67386
65536,0.8582,8.14592
131072,2.6692,9.47405
262144,2.753,17.6425
524288,5.1354,24.1367
1048576,10.6987,32.0891
2097152,44.6843,48.5222
4194304,92.3889,83.5594
8388608,180.723,151.481
16777216,366.359,292.985
33554432,725.093,577.509
67108864,1432.6,1147.37
134217728,2861.61,2243
16,0.0026,4.53222
32,0.0233,8.04762
64,0.0075,6.73485
128,0.0067,5.19475
256,0.0179,6.44608
512,0.0143,5.61971
1024,0.0232,7.82541
2048,0.0231,5.38214
4096,0.1056,7.87046
8192,0.0914,7.97901
16384,0.2395,6.88742
32768,0.3111,7.48237
65536,0.5569,7.93088
131072,1.2238,9.86317
262144,2.4635,19.5502
524288,5.2346,25.3092
1048576,10.8408,32.638
2097152,47.2428,47.445
4194304,97.7078,84.4124
8388608,183.978,150.271
16777216,362.979,293.296
33554432,719.964,571.779
67108864,1434.59,1156.54
134217728,2863.71,2258.41
16,0.0027,5.04627
32,0.0044,4.70323
64,0.0046,4.72678
128,0.0039,5.20909
256,0.0169,5.26541
512,0.0147,6.93043
1024,0.0094,6.57101
2048,0.0237,5.82656
4096,0.0943,5.76307
8192,0.1034,6.36723
16384,0.2044,6.55462
32768,0.3307,7.58989
65536,0.5728,7.44243
131072,1.2528,7.80902
262144,2.5211,17.2227
524288,5.4031,24.9723
1048576,11.049,31.3078
2097152,43.424,46.4681
4194304,91.9904,83.2932
8388608,183.445,149.555
16777216,372.864,296.081
33554432,722.539,575.122
67108864,1436.1,1149.26
134217728,2843.27,2264.15
16,0.0029,6.98573
32,0.0075,6.72563
64,0.0076,6.63142
128,0.0086,6.87002
256,0.0158,6.56486
512,0.0138,6.62426
1024,0.0405,7.52435
2048,0.0236,7.7312
4096,0.1343,8.25139
8192,0.1124,5.7088
16384,0.1703,5.37805
32768,0.2832,7.29702
65536,0.5599,7.61037
131072,1.2341,9.97274
262144,3.3217,19.158
524288,5.735,22.8977
1048576,10.8169,30.89
2097152,44.7256,49.8442
4194304,93.5235,81.6323
8388608,181.917,152.761
16777216,354.696,292.927
33554432,726.341,574.107
67108864,1446.67,1132.99
134217728,2875.07,2256.53
16,0.0027,5.14355
32,0.007,6.32934
64,0.0077,4.81075
128,0.0062,5.03706
256,0.0269,4.83635
512,0.0148,5.4272
1024,0.0093,5.76922
2048,0.026,5.82656
4096,0.0799,5.68627
8192,0.141,6.9888
16384,0.4421,7.77318
32768,0.281,7.5223
65536,0.9565,7.67181
131072,1.2782,10.025
262144,3.1201,19.8277
524288,5.6528,24.6303
1048576,11.5133,32.1894
2097152,43.9635,50.3572
4194304,91.596,81.791
8388608,195.107,150.198
16777216,353.533,294.535
33554432,718.949,577.409
67108864,1434.76,1134.77
134217728,2860.62,2262.33
16,0.0164,7.86534
32,0.0074,5.12922
64,0.0031,7.78138
128,0.0102,7.51206
256,0.0195,5.75898
512,0.014,6.8137
1024,0.009,4.32742
2048,0.0634,4.35098
4096,0.0446,6.91405
8192,0.0754,8.05683
16384,0.3429,7.1209
32768,0.3268,9.51194
65536,0.5814,8.66202
131072,1.2719,9.16685
262144,2.4777,20.2097
524288,5.2265,25.4136
1048576,10.8015,31.9037
2097152,51.0929,50.1166
4194304,90.1433,84.4565
8388608,179.798,151.038
16777216,354.966,290.267
33554432,731.741,576.008
67108864,1439.49,1142.48
134217728,2862.82,2252.07
16,0.0161,7.44755
32,0.0049,8.64154
64,0.0051,7.32058
128,0.0096,7.61139
256,0.0241,8.3671
512,0.0332,6.98778
1024,0.0094,8.27392
2048,0.0238,6.51674
4096,0.0444,6.53107
8192,0.0889,6.81779
16384,0.1513,6.8393
32768,0.5031,8.15206
65536,0.5997,8.58726
131072,1.3857,8.18586
262144,2.5087,17.9466
524288,5.1772,24.6313
1048576,11.3012,31.7051
2097152,44.8792,48.0051
4194304,91.7704,83.1324
8388608,185.394,152.605
16777216,387.576,296.395
33554432,766.873,591.469
67108864,1438.91,1137.46
134217728,2967.33,2243.96
16,0.0045,7.1168
32,0.0202,6.94374
64,0.0046,7.05434
128,0.0199,7.44346
256,0.0176,5.89107
512,0.0094,5.4569
1024,0.0346,9.07776
2048,0.0232,5.30842
4096,0.0444,7.64826
8192,0.1235,7.44653
16384,0.1502,7.16186
32768,0.4926,8.19098
65536,0.5733,8.13875
131072,1.6521,9.56109
262144,2.5329,20.0929
524288,5.377,25.4167
1048576,11.9464,32.8581
2097152,45.5378,49.2544
4194304,96.7573,78.5101
8388608,185.439,151.92
16777216,364.825,295.145
33554432,722.599,576.879
67108864,1433.75,1139.76
134217728,2867.37,2249.78
16,0.0044,6.28531
32,0.0044,5.42003
64,0.0074,5.1712
128,0.0065,4.83226
256,0.0318,4.9961
512,0.0096,4.84762
1024,0.0337,4.78822
2048,0.0343,7.13933
4096,0.0774,6.79936
8192,0.1433,6.7328
16384,0.2607,6.79322
32768,0.3448,6.91098
65536,0.5818,7.424
131072,1.2753,8.62925
262144,2.5936,18.4228
524288,5.0498,23.9985
1048576,10.4051,31.8321
2097152,45.1465,49.195
4194304,92.7598,82.6081
8388608,185.438,151.64
16777216,361.887,288.948
33554432,737.066,576.142
67108864,1467.2,1138.07
134217728,2871.21,2265.43
16,0.0027,5.11693
32,0.0049,4.4329
64,0.0044,6.71027
128,0.0073,7.02054
256,0.0197,6.62118
512,0.0143,4.41242
1024,0.0161,6.22285
2048,0.0464,6.70618
4096,0.0446,6.66829
8192,0.0793,7.27859
16384,0.2374,6.67955
32768,0.5991,9.7495
65536,0.5706,6.23514
131072,1.3998,8.91597
262144,2.7135,16.6287
524288,5.2324,22.5208
1048576,10.5788,30.7251
2097152,45.1157,49.3507
4194304,90.1408,81.2821
8388608,181.795,151.604
16777216,364.522,292.81
33554432,721.957,570.394
67108864,1431.15,1126.76
134217728,2874.16,2262.82
16,0.0027,7.66566
32,0.0043,6.88538
64,0.0034,6.74918
128,0.0042,7.56019
256,0.0245,6.69184
512,0.0109,6.61299
1024,0.0526,5.24595
2048,0.0244,7.76294
4096,0.0631,6.74202
8192,0.1214,6.59149
16384,0.2377,6.8137
32768,0.2805,6.23616
65536,0.5833,9.43821
131072,1.2821,9.48941
262144,3.4827,19.3976
524288,5.1161,24.6426
1048576,11.4642,30.8398
2097152,49.4287,48.4076
4194304,93.1013,83.3249
8388608,177.743,154.09
16777216,364.265,295.072
33554432,730.251,574.427
67108864,1428.23,1135.41
134217728,2862.61,2264.81
16,0.0027,4.87424
32,0.0047,5.81632
64,0.005,4.90598
128,0.0037,4.8087
256,0.0134,4.55168
512,0.0136,5.74771
1024,0.0222,6.6816
2048,0.0238,6.94989
4096,0.0611,6.9591
8192,0.0911,7.54586
16384,0.2823,7.44755
32768,0.5742,6.94272
65536,0.9484,7.73222
131072,1.2684,9.67168
262144,2.6531,19.2532
524288,5.9231,24.9252
1048576,10.9744,30.5295
2097152,43.38,49.7674
4194304,90.3833,82.9102
8388608,186.821,151.755
16777216,366.362,298.628
