Array Size,CPU (s),Na‹ve(s),Efficient (s),Shared Memory (s),Thrust (s)
4194301,18.8915,31.0034,3.31414,0.84752,0.601056
8388605,36.5757,63.3569,6.5024,1.51347,2.2103
16777213,75.6577,126.289,12.2015,2.82624,2.53952
33554429,149.245,257.183,29.4851,5.46144,1.82122
67108861,299.695,524.993,51.1833,10.6854,3.29795
13,0,0.178176,0.10752,0.169984,0.14336
29,0.0001,0.190464,0.121856,0.190464,0.140288
61,0.0001,0.172032,0.13312,0.244736,0.162816
125,0.0002,0.182272,0.154624,0.177152,0.142336
253,0.0003,0.16896,0.171008,0.190464,0.145408
509,0.0006,0.195584,0.192512,0.169984,0.564224
1021,0.0012,0.24576,0.214016,0.188416,0.136192
2045,0.0021,0.221184,0.228352,0.190464,0.149504
4093,0.002,0.234496,0.403456,0.200704,0.149504
8189,0.0237,0.295936,0.272384,0.19456,0.159744
16381,0.0085,0.324608,0.290816,0.182272,0.137024
32765,0.0194,0.41472,0.30208,0.186368,0.1464
65533,0.0383,0.886784,0.321536,0.207744,0.157696
131069,0.5864,1.03117,0.3584,0.200704,0.454656
262141,1.1701,2.09203,0.393216,0.217024,0.438272
524285,2.4096,4.16326,0.729088,0.278528,0.463744
1048573,4.9552,8.18147,1.2585,0.367264,0.544768
2097149,8.875,15.703,1.9792,0.503808,0.56832
4194301,19.5579,34.6804,4.14413,0.857472,0.587296
8388605,42.3665,90.1407,9.5191,2.45626,0.815104
16777213,77.9639,136.279,14.8859,2.82038,1.16326
33554429,147.168,255.286,21.0964,5.44221,1.90541
67108861,294.146,515.047,66.348,10.6772,3.3759
13,0,0.169984,0.109568,0.226304,0.165888
29,0.0001,0.1792,0.169984,0.186368,0.13824
61,0.0001,0.180224,0.144384,0.19968,0.135168
125,0.0001,0.247808,0.166912,0.203776,0.13312
253,0.0002,0.190464,0.172032,0.19456,0.165888
509,0.0006,0.198656,0.195584,0.183296,0.14848
1021,0.0012,0.233472,0.216064,0.182272,0.155648
2045,0.0022,0.24064,0.367616,0.196608,0.147456
4093,0.0043,0.315392,0.244736,0.19456,0.120832
8189,0.0037,0.319488,0.268288,0.195584,0.202752
16381,0.008,0.323584,0.277504,0.200704,0.1536
32765,0.0182,0.41984,0.306176,0.25088,0.13456
65533,0.0494,0.67584,0.351232,0.20992,0.132096
131069,0.6014,1.02195,0.3584,0.164864,0.366592
262141,1.1716,2.03162,0.423936,0.178624,0.320512
524285,2.5048,3.84614,0.702464,0.29376,0.481856
1048573,4.6846,8.07293,1.10592,0.366912,0.543552
2097149,10.4857,15.4614,2.44736,0.524288,0.482304
4194301,18.0219,32.6123,3.29626,1.92464,0.721344
8388605,37.6827,62.4448,6.50083,1.50998,0.935712
16777213,74.2777,126.238,10.8093,2.8887,1.24314
33554429,151.481,253.666,29.609,5.45261,1.92
67108861,294.536,512.896,53.6508,10.6585,3.32736
13,0.0001,0.201728,0.106496,0.216064,0.119808
29,0.0001,0.181248,0.115712,0.186368,0.140288
61,0.0002,0.177152,0.144384,0.191488,0.136192
125,0.0004,0.196608,0.14848,0.187392,0.140288
253,0.0002,0.203776,0.176128,0.147456,0.162816
509,0.0004,0.267264,0.19456,0.150528,0.11776
1021,0.0005,0.232448,0.210944,0.178176,0.114688
2045,0.0008,0.228352,0.310272,0.157696,0.110592
4093,0.0172,0.238592,0.336896,0.159744,0.099328
8189,0.0037,0.275456,0.347136,0.159744,0.10752
16381,0.0101,0.379904,0.291776,0.15872,0.125952
32765,0.0704,0.434176,0.297984,0.191488,0.145408
65533,0.0395,0.622592,0.314368,0.205664,0.206848
131069,0.5848,1.17965,0.35328,0.155648,0.4608
262141,1.1699,2.0265,0.453632,0.177152,0.474112
524285,2.4247,3.83898,0.7424,0.303104,0.432704
