Array Size,Cpu without scan (s),Cpu with scan (s),Efficient SC (s),Shared Memory SC (s)
1048573,2.8681,3.1353,16.6912,16.0625
2097149,5.615,6.6054,30.636,30.2961
4194301,12.922,11.4872,58.1929,56.6446
8388605,23.4233,23.7708,115.391,109.562
16777213,44.424,45.2281,229.838,221.611
33554429,89.0712,87.5058,468.451,444.448
67108861,176.193,183.365,941.537,885.414
134217725,352.643,353.445,1867.94,1774.47
268435453,700.726,704.791,3744.96,3560.29
13,0.0002,0.0002,0.879616,1.0752
29,0.0003,0.0002,0.910336,0.939008
61,0.0006,0.0003,0.883712,1.19398
125,0.0006,0.0006,0.879616,1.07622
253,0.0016,0.0011,1.26464,0.805888
509,0.003,0.0019,0.736256,0.775168
1021,0.0053,0.0031,0.830464,0.782336
2045,0.0059,0.0063,0.894976,1.39981
4093,0.0111,0.0124,0.896,0.817152
8189,0.0217,0.0234,0.929792,0.869376
16381,0.0748,0.0665,1.17862,1.35373
32765,0.0829,0.1114,1.33734,2.04083
65533,0.1978,0.237,1.8647,2.99213
131069,0.3589,0.3774,2.94502,3.06381
262141,0.723,0.9133,5.39341,5.45587
524285,1.6224,1.6378,8.69171,9.28973
1048573,2.6958,2.8912,16.1741,16.7844
2097149,5.3467,5.7834,31.4604,29.2751
4194301,11.5771,11.6104,60.6321,57.1904
8388605,21.0603,24.2795,114.882,111.161
16777213,42.3692,46.5272,235.423,219.809
33554429,90.3229,88.5108,470.926,441.022
67108861,175.783,184.313,942.818,886.208
134217725,351.512,350.945,1883.67,1791
268435453,702.917,704.3,3726.95,3553.78
13,0.0001,0.0002,1.77766,1.06189
29,0.0001,0.0003,0.825344,0.940032
61,0.0003,0.0004,0.909312,0.92672
125,0.0005,0.0007,0.891904,1.08339
253,0.0011,0.0011,1.09568,1.05165
509,0.0021,0.0022,0.820224,0.9472
1021,0.0035,0.0031,0.815104,1.28614
2045,0.0087,0.006,0.937984,0.935936
4093,0.0109,0.0123,1.21958,0.958464
8189,0.021,0.0548,1.23802,0.98816
16381,0.0395,0.0544,1.32813,1.21242
32765,0.0956,0.0867,1.6087,1.42029
65533,0.2297,0.1994,1.79712,3.0433
131069,0.3456,0.4507,2.87744,3.59526
262141,0.712,0.8962,5.02067,6.09792
524285,1.3593,1.6706,8.66304,9.31328
1048573,2.7641,2.8707,15.9283,16.386
2097149,5.2348,5.7043,29.6079,29.1768
4194301,12.7711,11.7379,58.4274,57.8365
8388605,20.6259,23.5456,114.017,110.002
16777213,42.8089,46.6657,236.661,220.102
33554429,89.4567,88.8465,472.499,446.781
67108861,179.441,179.176,940.913,883.085
134217725,353.374,354.743,1870.92,1785.17
268435453,699.763,702.204,3779.4,3544.02
13,0.0002,0.0002,0.83968,1.23904
29,0.0002,0.0002,1.19706,0.948224
61,0.0007,0.0004,0.83456,1.19706
125,0.0006,0.0006,0.81408,0.966656
253,0.0145,0.0012,1.08237,0.915456
509,0.0029,0.0018,1.05677,0.94208
1021,0.005,0.0041,0.894976,0.924672
2045,0.0057,0.0063,0.909312,0.888832
4093,0.0323,0.0115,1.15814,1.2544
8189,0.0214,0.0234,1.08646,1.03117
16381,0.0417,0.0496,1.11104,1.21651
32765,0.0877,0.1264,1.55341,1.43462
65533,0.1739,0.1809,2.00499,2.88051
131069,0.3673,0.3715,3.03821,3.59014
262141,1.6079,0.8533,5.22035,5.64122
524285,1.6788,1.7666,8.64051,9.70342
1048573,2.7594,3.4152,15.9754,17.1203
2097149,5.5361,6.1466,30.079,29.9151
4194301,10.7272,10.7561,60.3351,59.6951
8388605,21.6321,22.6888,116.143,110.109
16777213,44.5421,45.5117,231.477,220.676
33554429,86.0339,90.1662,473.144,442.865
67108861,177.696,178.765,938.436,887.324
134217725,351.153,359.983,1877.45,1775.67
268435453,705.877,700.797,3755.25,3532.78
13,0.0001,0.0005,1.23802,0.987136
29,0.0004,0.0003,1.09261,1.01478
61,0.0002,0.0004,0.845824,0.943104
