Array Size,CPU (s),Na‹ve (s),Work Efficient (s),Shared Memory (s),Thrust (s)
16,0,0.214016,0.099328,0.191488,0.145408
32,0.0001,0.15872,0.128,0.16896,0.144384
64,0.0001,0.239616,0.13824,0.182272,0.151552
128,0.0001,0.303104,0.157696,0.207872,0.128
256,0.0002,0.242688,0.193536,0.16384,0.145408
512,0.0008,0.234496,0.18944,0.1792,0.11264
1024,0.0006,0.279552,0.211968,0.172032,0.162816
2048,0.001,0.333824,0.226304,0.142336,0.11776
4096,0.0044,0.295936,0.304128,0.151552,0.129024
8192,0.0037,0.331776,0.26112,0.149504,0.123904
16384,0.0137,0.345088,0.331392,0.158368,0.132096
32768,0.0203,0.450496,0.305152,0.16976,0.11776
65536,0.0433,0.647168,0.320512,0.177152,0.145152
131072,0.5998,1.04835,0.355328,0.213856,0.433472
262144,1.4408,2.25485,0.404768,0.387072,0.509952
524288,2.641,4.12038,0.699808,0.299008,0.503616
1048576,4.8304,9.60819,1.15642,0.708416,0.53392
2097152,15.2972,21.1999,3.67514,0.845824,0.525312
4194304,26.7399,32.7468,3.34746,0.85568,0.754304
8388608,38.0066,65.1222,6.57853,2.29069,1.03936
16777216,86.8103,170.761,11.4391,2.93376,1.26022
33554432,162.15,263.252,30.0472,5.6151,2.07114
67108864,336.767,539.289,58.2103,11.9876,3.53066
16,0.0001,0.186368,0.111616,0.152576,0.12288
32,0.0003,0.16896,0.130048,0.156672,0.125952
64,0.0002,0.17408,0.145408,0.14848,0.120832
128,0.0003,0.203776,0.178176,0.13824,0.109568
256,0.0003,0.18944,0.165888,0.160768,0.1024
512,0.0005,0.22016,0.190464,0.165888,0.124928
1024,0.0014,0.258048,0.201728,0.149504,0.121856
2048,0.0025,0.237568,0.222208,0.146432,0.137216
4096,0.002,0.29184,0.231424,0.145408,0.134144
8192,0.0037,0.32256,0.265216,0.159744,0.120832
16384,0.0127,0.379648,0.292864,0.200128,0.162816
32768,0.0178,0.477184,0.29696,0.16976,0.1144
65536,0.0421,1.07725,0.328704,0.167936,0.168416
131072,0.6003,1.08749,0.361472,0.211616,0.60256
262144,1.2151,2.60608,0.42496,0.417792,0.464896
524288,2.428,3.88246,0.944128,0.30304,0.631392
1048576,5.2148,8.0167,1.32739,0.372448,0.936512
2097152,14.0085,15.6619,2.07872,0.5144,0.520672
4194304,22.1914,31.7878,4.1591,0.845824,0.585664
8388608,40.2675,65.5524,11.4493,1.52342,0.819072
16777216,80.0839,130.956,15.8775,4.84966,1.26957
33554432,161.431,260.976,22.5464,5.68218,2.15322
67108864,324.663,561.023,71.593,10.9233,3.49184
16,0.0001,0.169984,0.105472,0.198656,0.16896
32,0.0002,0.229376,0.129024,0.251904,0.169984
64,0.0001,0.202752,0.141312,0.177152,0.269312
128,0.0002,0.397312,0.155648,0.172032,0.1536
256,0.0003,0.21504,0.178176,0.205824,0.145408
512,0.0008,0.254976,0.182272,0.147456,0.176128
1024,0.0005,0.248832,0.217088,0.20992,0.166912
2048,0.001,0.282624,0.366592,0.173056,0.119808
4096,0.0019,0.403456,0.24576,0.16384,0.121856
8192,0.0037,0.325632,0.2816,0.157696,0.113664
