Array Size,CPU (s),Na‹ve (s),Work Efficient (s),Shared Memory (s),Thrust (s)
125,0.0002,0.524288,0.618496,1.11104,0.724992
253,0.0006,0.525312,0.796672,0.848896,0.690176
509,0.0006,0.774144,0.78848,0.728064,0.636928
1021,0.0012,0.774144,0.754688,1.74694,0.677888
2045,0.0019,0.729088,0.657408,0.712704,0.65024
4093,0.0023,0.925696,0.928768,0.697344,0.69632
8189,0.0034,0.734208,0.95744,1.04755,0.868352
16381,0.0078,0.840704,1.0537,0.912384,0.93696
32765,0.0325,1.05984,1.27693,1.3056,1.07622
65533,0.0363,1.76947,1.60973,1.44998,1.43667
131069,0.6136,2.41664,2.36442,3.09248,3.01363
262141,1.2441,4.23117,4.05299,4.37862,4.6121
524285,2.3998,8.76851,7.73939,8.47155,7.96058
1048573,4.7578,15.2207,15.7266,14.3032,15.3989
2097149,9.9385,28.8031,28.9536,27.9173,27.7914
4194301,19.1265,56.6979,57.559,54.6529,53.5808
8388605,39.3726,114.035,110.804,106.977,105.091
16777213,76.2613,229.147,217.959,210.045,210.381
33554429,153.54,460.355,446.505,423.656,421.467
67108861,314.965,933.104,887.132,853.806,838.826
13,0.0001,0.594944,0.84992,0.900096,0.812032
29,0.0002,0.615424,0.765952,0.867328,0.738304
61,0.0002,0.817152,0.72704,0.5632,0.528384
125,0.0002,0.553984,0.539648,0.60928,0.574464
253,0.0002,0.540672,0.582656,0.567296,0.591872
509,0.0002,0.785408,0.739328,0.6656,0.759808
1021,0.0004,0.712704,0.75264,0.685056,0.626688
2045,0.001,0.81408,0.768,0.687104,0.851968
4093,0.0019,0.710656,1.06394,0.831488,0.730112
8189,0.0036,0.739328,0.83968,1.43872,0.8192
16381,0.0072,0.913408,1.03117,1.13869,0.792576
32765,0.0181,1.29946,1.22368,1.06394,1.12333
65533,0.0379,1.46739,2.15347,1.95277,1.52474
131069,0.5852,2.23334,3.13037,2.60403,2.99622
262141,1.2507,4.32845,4.11238,4.31821,4.92032
524285,2.4329,7.62061,7.43936,8.51251,7.91245
1048573,4.8197,15.6006,15.1316,14.5111,15.3672
2097149,9.4813,28.6474,29.6591,28.6403,28.0115
4194301,19.5742,58.3967,56.6118,54.7287,53.6392
8388605,37.7021,113.483,110.636,104.758,106.44
16777213,81.8261,227.168,221.813,210.274,210.856
33554429,155.508,461.591,435.709,428.705,419.796
67108861,304.997,931.369,900.391,854.504,849.398
13,0.0001,0.538624,1.43667,0.787456,0.715776
29,0.0001,0.605184,0.726016,0.958464,0.662528
61,0.0003,0.770048,0.630784,0.663552,0.638976
125,0.0003,0.807936,0.96768,0.54272,0.612352
253,0.0005,0.678912,0.715776,0.785408,0.88064
509,0.0002,0.862208,0.796672,0.668672,0.656384
1021,0.0004,0.730112,0.774144,0.777216,0.677888
2045,0.0009,0.801792,1.4807,0.726016,0.70656
4093,0.0017,0.687104,0.80384,0.699392,0.720896
8189,0.0035,0.86016,0.927744,0.912384,0.70656
16381,0.0336,0.86016,1.03219,1.08749,0.909312
32765,0.0178,1.09773,1.19706,1.17658,1.13971
65533,0.0496,1.52371,1.67629,1.55238,1.48685
131069,0.749,2.32243,3.19181,2.60608,3.26451
262141,1.2079,4.12058,4.59469,4.41037,4.87936
524285,2.6494,7.74554,7.9145,7.62163,8.43776
1048573,5.1772,15.8403,14.6401,14.6196,14.9033
2097149,9.7953,29.2639,28.8174,27.1483,27.8446
4194301,19.5246,59.3971,58.838,53.4129,55.2888
8388605,41.272,114.167,111.165,105.155,106.162
