Array Size,Thrust time (s),Radix sort time (s)
8189,0.0903,7.73325
16381,0.1659,7.16083
32765,0.3002,6.33344
65533,0.5781,8.9815
131069,1.5865,8.8535
262141,2.465,20.6909
524285,5.0212,26.0393
1048573,11.8088,32.1772
2097149,21.993,49.3527
4194301,93.1137,81.4684
8388605,184.289,149.129
16777213,390.141,294.125
33554429,724.72,578.588
67108861,1440.44,1135.94
134217725,2871.69,2268.8
13,0.0027,6.80346
29,0.007,8.49101
61,0.0079,6.5751
125,0.0053,6.60275
253,0.0205,6.83213
509,0.0118,6.69894
1021,0.0207,6.60378
2045,0.0471,6.37133
4093,0.0724,9.12486
8189,0.0737,7.84179
16381,0.1523,7.78957
32765,0.349,7.57555
65533,0.7925,7.56531
131069,1.4999,9.45766
262141,2.7267,17.8442
524285,5.0898,23.892
1048573,11.4968,32.4168
2097149,22.0564,47.7737
4194301,92.3565,78.4333
8388605,183.866,153.091
16777213,358.776,294.29
33554429,720.452,575.156
67108861,1449.3,1136.77
134217725,2888.59,2265.09
13,0.0028,6.82189
29,0.0027,6.75123
61,0.005,7.91962
125,0.0049,8.01075
253,0.0114,7.03898
509,0.0158,8.45414
1021,0.0318,7.20282
2045,0.033,7.60627
4093,0.042,7.76909
8189,0.0792,6.91712
16381,0.2786,6.88538
32765,0.2743,7.07174
65533,0.5594,6.41229
131069,1.2222,9.22214
262141,3.0477,18.3163
524285,5.2511,23.3144
1048573,11.2368,33.2882
2097149,21.1856,45.5557
4194301,94.8595,85.1722
8388605,177.987,150.738
16777213,366.304,296.884
33554429,721.243,580.283
67108861,1454.97,1139.27
134217725,2883.52,2261.01
13,0.0163,7.28986
29,0.0071,8.22784
61,0.0048,7.26016
125,0.0082,7.73325
253,0.0205,8.64256
509,0.0075,6.84134
1021,0.0334,8.49715
2045,0.0209,6.39795
4093,0.0421,6.20954
8189,0.0747,7.50694
16381,0.2152,6.99494
32765,0.2802,8.52275
65533,0.5623,8.8791
131069,1.2074,9.24877
262141,2.6441,19.6168
524285,6.9512,23.6544
1048573,11.0734,29.8025
2097149,22.1665,46.505
4194301,94.3564,83.3167
8388605,185.166,151.607
16777213,366.33,298.337
33554429,731.552,569.492
67108861,1441.06,1138.6
134217725,2874.38,2262.87
13,0.0028,7.42298
29,0.0182,6.92429
61,0.0034,6.6775
125,0.0055,6.65088
253,0.0108,6.7113
509,0.0062,6.55667
1021,0.0139,6.45939
2045,0.0219,6.93453
4093,0.0541,5.71802
8189,0.0753,7.47725
16381,0.1805,7.4281
32765,0.2801,7.35539
65533,0.587,8.56166
131069,1.2765,10.0434
262141,2.9874,17.0506
524285,5.0248,24.9231
1048573,11.2654,32.4178
2097149,21.7837,50.047
4194301,93.962,83.1703
8388605,183.511,152.141
16777213,359.586,291.778
33554429,725.72,573.432
67108861,1441.6,1133.21
134217725,2873.35,2256.47
13,0.0047,7.57658
29,0.0048,4.7032
61,0.005,5.83782
125,0.0081,6.93248
253,0.0046,5.34733
509,0.011,5.30534
1021,0.031,6.35085
2045,0.0368,5.43232
4093,0.044,6.70413
8189,0.0914,9.55597
16381,0.1783,7.36154
32765,0.3574,7.09734
65533,0.579,7.49261
131069,1.4207,10.4018
262141,2.6662,20.395
524285,5.2106,24.7665
1048573,12.6479,32.0369
2097149,20.9897,49.92
4194301,92.2397,80.8653
8388605,180.767,153.185
16777213,359.322,294.545
33554429,714.339,574.48
67108861,1445.16,1124.86
134217725,2927.57,2260.13
13,0.0027,6.09382
29,0.0075,5.35859
61,0.0047,7.21715
125,0.0216,4.992
253,0.0074,7.02669
509,0.0154,5.93715
1021,0.0291,6.1481
2045,0.0212,4.83635
4093,0.0782,7.66771
8189,0.0905,6.61504
16381,0.1649,6.64986
32765,0.4604,6.528
65533,0.5678,6.7113
131069,1.3754,8.99891
262141,2.4583,18.4627
524285,5.5183,22.9734
1048573,11.4413,30.505
2097149,23.8916,49.0711
4194301,103.808,81.5872
8388605,180.419,152.067
16777213,367.734,297.114
33554429,727.537,574.135
67108861,1448.75,1138.02
134217725,2862.93,2250.46
13,0.0027,6.24742
29,0.0028,6.3529
61,0.0029,6.64371
125,0.017,7.35437
253,0.0046,5.47123
509,0.0173,6.87821
1021,0.0341,5.73235
2045,0.0456,6.81882
4093,0.0402,6.31194
8189,0.1112,6.47885
16381,0.1468,6.96627
32765,0.287,6.3744
65533,0.5544,9.01939
131069,2.194,10.2298
262141,2.6163,20.6623
524285,5.1315,25.2508
1048573,10.986,32.3697
2097149,20.48,49.8852
4194301,93.8877,82.9901
8388605,182.384,153.939
16777213,362.701,294.649
33554429,713.28,572.809
67108861,1443.71,1142.08
134217725,2884.36,2263.84
13,0.0026,7.64416
29,0.0162,7.5479
61,0.0207,6.29453
125,0.0214,5.85114
253,0.0069,5.02477
509,0.0097,4.79642
1021,0.0319,4.79027
2045,0.021,6.69594
4093,0.0389,6.49216
8189,0.1675,6.67853
16381,0.217,7.28678
32765,0.2879,8.1111
65533,0.6185,7.64928
131069,1.4387,8.28314
262141,2.5265,18.3235
524285,4.9892,22.9919
1048573,10.7515,31.8669
2097149,21.9491,49.8012
4194301,96.9281,84.7247
8388605,205.874,156.483
16777213,361.846,294.42
33554429,752.165,596.451
