Array Size,CPU (s),Na‹ve (s),Work Efficient (s),Shared Memory (s),Thrust (s)
33554432,146.795,464.937,435.531,424.426,421.684
67108864,293.482,935.895,904.378,852.767,846.362
16,0.0001,0.50176,0.690176,0.804864,0.749568
32,0.0002,0.451584,0.608256,0.580608,0.607232
64,0.0002,0.545792,0.734208,0.630784,0.591872
128,0.0133,0.81408,0.67072,0.574464,0.615424
256,0.0002,0.4864,0.596992,0.586752,0.556032
512,0.0005,0.502784,0.620544,0.596992,0.556032
1024,0.0009,0.736256,0.714752,0.638976,0.592896
2048,0.001,0.543744,0.67584,0.648192,0.576512
4096,0.0023,0.57856,0.717824,1.08646,0.64512
8192,0.0038,0.693248,0.785408,0.774144,0.699392
16384,0.0083,0.745472,1.00762,0.842752,0.837632
32768,0.0211,1.49504,1.22982,1.04653,1.01683
65536,0.0375,2.2825,1.65171,1.43974,1.54522
131072,0.5995,2.4832,2.51085,2.53338,3.18054
262144,1.201,4.20352,4.49843,4.32845,4.92749
524288,2.2884,7.62573,7.65747,8.18381,8.92826
1048576,5.4632,15.2719,14.2367,13.8803,14.4927
2097152,10.2198,28.9761,30.0769,26.1663,28.543
4194304,21.4403,58.7418,55.5018,53.4088,54.2075
8388608,37.6876,116.295,109.571,106.162,105.753
16777216,76.6264,230.463,219.07,212.558,210.028
33554432,145.061,465.522,447.158,425.24,423.192
67108864,292.212,935.852,884.712,854.284,844.048
16,0.0001,0.446464,0.703488,0.636928,0.695296
32,0.0003,0.500736,0.713728,0.622592,0.749568
64,0.0003,0.483328,1.13152,0.78848,0.708608
128,0.0003,0.600064,0.689152,0.702464,0.684032
256,0.0004,0.519168,0.841728,0.787456,0.920576
512,0.0004,0.540672,0.81408,1.22573,0.728064
1024,0.0012,0.572416,0.785408,0.862208,0.679936
2048,0.0023,0.559104,0.939008,0.874496,0.729088
4096,0.0042,0.57344,1.01069,0.736256,0.797696
8192,0.0036,0.944128,0.97792,0.817152,0.837632
16384,0.0079,0.91648,1.04858,0.866304,1.27283
32768,0.019,0.945152,1.25747,1.08544,1.29741
65536,0.0369,1.85446,1.70394,1.44998,1.58618
131072,0.7199,2.30605,2.75456,2.57741,3.68128
262144,1.1678,4.18816,4.49843,4.97152,4.6592
524288,2.3427,7.7568,8.07014,8.2135,8.45824
1048576,4.5363,15.0405,14.8255,14.5899,15.0569
2097152,8.8734,29.099,28.6546,26.8278,27.5364
4194304,20.1842,58.1448,57.855,54.2065,53.503
8388608,36.3016,114.524,111.445,106.353,106.465
16777216,79.2694,229.671,222.787,212.133,211.665
33554432,151.279,466.651,437.708,424.022,421.958
67108864,293.435,940.405,905.912,850.464,844.72
16,0.0001,0.481248,0.772096,0.77824,0.713728
32,0.0002,0.54272,0.763904,0.753664,0.864256
64,0.0002,0.539648,0.769024,0.878592,0.928768
128,0.0002,0.48128,0.585728,0.63488,0.630784
256,0.0003,0.499712,0.653312,0.638976,0.59392
512,0.0004,0.499712,0.6144,0.800768,0.540672
1024,0.0009,0.5632,0.637952,0.65536,0.616448
2048,0.0011,0.710656,0.681984,0.62976,0.5888
4096,0.0021,0.575488,0.723968,0.65536,0.601088
8192,0.0039,0.770048,0.790528,0.75776,0.690176
16384,0.0084,0.770048,0.93184,0.848896,0.821248
32768,0.0194,1.16634,1.21958,1.04346,1.28
65536,0.0407,1.94867,1.65478,2.15859,1.64454
131072,0.5828,2.22515,3.14163,2.51802,3.53792
262144,1.1679,4.21478,4.20045,4.30387,4.95309
524288,2.3417,7.62982,7.78854,8.06912,8.73472
1048576,4.7097,14.5142,14.6842,14.379,15.1276
2097152,9.1236,28.8072,29.31,27.5599,28.0596
4194304,20.6234,58.0239,55.6032,54.2024,54.0723
8388608,38.6445,116.434,111.23,107.652,106.393
16777216,77.8651,230.596,220.073,210.58,210.207
33554432,145.094,464.725,446.487,427.713,421.915
67108864,300.426,940.391,884.661,850.298,843.971
16,0,0.479232,0.516096,0.553984,0.512
32,0.0001,0.530432,0.502784,0.538624,0.5888
64,0.0001,0.570368,0.570368,0.58368,1.28307
128,0.0003,0.65536,0.801792,0.90624,0.82432
256,0.0004,0.825344,0.787456,0.567296,0.598016
512,0.0005,0.498688,0.621568,0.643072,0.603136
